"Accession" "Latitude" "Longitude"
"142" "JM2014-H-66" 42.20411944 140.3925167
"143" "KMS450" 36.228304 128.332763
"144" "KMS412" 35.785864 127.024609
"145" "JM2014-H-43" 43.07243056 144.498
"146" "KMS453" 35.453146 128.23386
"147" "KMS435" 35.449931 128.49463
"148" "JM2014-H-26" NA NA
"149" "KMS392" 37.231443 127.881241
"150" "KMS319" 35.357777 129.140555
"151" "JM2014-H-18" 43.59856111 143.6636972
"152" "KMS444" 35.813358 128.472461
"153" "JY137" 35.46528333 119.47605
"154" "JM2014-M-12" 37.77340833 140.8370194
"155" "JPN-2011-008" 42.42502 142.4806
"156" "JPN-2010-006" 40.21601 140.22625
"157" "JPN-2010-003" NA NA
"158" "JM2014-H-12" 43.56203611 142.0580139
"159" "JM2014-S-1" 33.95875833 132.7770889
"160" "JPN-2010-013" 38.72067 139.89529
"161" "JM2014-H-55" 43.17883611 141.4545583
"162" "UI11-00033" NA NA
"163" "JM2014-H-47" 43.46899167 144.4776167
"164" "UI11-00035" NA NA
"165" "JPN-2011-016" 36.16872 137.23874
"166" "JM2014-H-46" 43.41154722 144.5296944
"167" "UI11-00036" NA NA
"168" "JPN-2011-017" 35.44005 136.80277
"169" "JM2014-H-78" 42.71985 141.7433778
"170" "KMS407" 35.783512 127.421892
"171" "KMS341" 36.864444 127.851666
"172" "KMS345" 36.463888 127.7325
"173" "JM2014-H-76" 42.45879444 140.8865806
"174" "JPN-2011-006" 35.3246 136.69304
"175" "KMS427" 35.203159 126.504402
"176" "JM2014-H-73" 42.57628889 140.7983083
"177" "KMS452" 35.432911 128.255787
"178" "JM2014-K-15" 31.45466667 131.2483611
"179" "JM2014-H-14" 43.09961389 143.5327611
"180" "JPN-2010-011" 39.36835 140.06545
"181" "KMS395" 37.111508 127.877872
"182" "KMS253" 37.200277 128.960833
"183" "JM2014-H-63" 42.98208889 141.5823056
"184" "JM2014-H-10" 43.32911389 142.3929583
"185" "JM2014-K-2" 31.84458333 131.4057222
"186" "JY013" 30.92658333 120.2222333
"187" "JY159" 36.4715 120.9200667
"188" "JM2014-H-4" 44.53913889 142.3236556
"189" "JM11-002" 33.61389444 130.1963806
"190" "KMS316" 35.3425 126.608722
"191" "UI11-00038" NA NA
"192" "KMS420" 36.839659 127.140006
"193" "JM2014-K-5" 31.82452778 131.4209167
"194" "KMS413" 35.752166 127.002063
"195" "JM2014-H-5" 43.82526111 142.4276278
"196" "KMS430" 35.346529 126.618437
"197" "JM2014-H-75" 42.47130278 140.3437944
"198" "JM2014-M-9" 37.48096389 140.3097833
"199" "JPN-2011-018" 35.45623 136.74961
"200" "JM2014-H-20" 44.18463611 143.639375
"201" "JM2014-H-50" 43.35680278 143.8096306
"202" "JM2014-H-57" 43.22603611 141.6568
"203" "KMS330" 35.0025 126.532222
"204" "KMS403" 35.8763 127.15716
"205" "JM2014-H-62" 43.08687222 141.5695028
"206" "KMS354" 36.941388 127.458888
"207" "KMS348" 36.451666 127.451944
"208" "JM2014-K-6" 31.84458333 131.4057222
"209" "JM2014-H-2" 44.89754444 141.7470694
"210" "KMS418" 37.160091 127.073639
"211" "JM2014-K-11" 31.85347222 131.4091389
"212" "JM2014-H-8" 43.57026389 142.4373944
"213" "KMS380" 37.935548 127.783859
"214" "JM2014-H-64" 42.93335278 141.5706944
"215" "KMS449" 36.285742 128.364586
"216" "KMS328" 35.307777 126.554444
"217" "KMS414" 35.788876 127.083015
"218" "JM2014-H-56" 43.21947778 141.5352472
"219" "JM2014-M-11" 37.77228056 140.5031139
"220" "JM2014-K-10" 31.85255556 131.40675
"221" "JY118-1" 28.60158333 116.2131667
"222" "JY174" 36.86165 121.4351333
"223" "JY152" 36.12633333 120.5590167
"224" "JY191" 39.55866667 122.6042167
"225" "KMS415" 35.801112 127.102159
"226" "JY175" 36.88793333 121.46485
"227" "JM2014-H-9" 43.48790278 142.4627833
"228" "JM2014-M-1" 35.76695 140.2150583
"229" "JM2014-H-54" 43.16615278 141.2891833
"230" "JM2014-H-49" 43.37846111 143.8856667
"231" "JY138" 35.4895 119.1594667
"232" "KMS390" 37.191078 128.45131
"233" "KMS465" 38.069235 127.134034
"234" "KMS346" 36.385833 127.650833
"235" "KMS332" 35.8725 128.755
"236" "KMS402" 35.906942 127.134191
"237" "KMS411" 35.796862 127.058927
"238" "JMNaganumaFSC" 42.928678 141.715402
"239" "JM2014-H-6" 44.09858611 142.3887944
"240" "JM11-024-1" 35.34828056 132.7423389
"241" "JM11-024-2" 35.34828056 132.7423389
"242" "RU2012-056.1" 48.82444 135.94803
"243" "UI11-00034" NA NA
"244" "KMS393" 37.196791 127.874303
"245" "KMS397" 37.069192 127.962548
